Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",209.5663,-65.3887,-135.0000,bottom
"C4","10nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",212.9930,-56.4896,180.0000,bottom
"C5","10nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",225.2840,-61.0870,0.0000,bottom
"C6","10nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",220.4212,-69.3026,-90.0000,bottom
"C7","20pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",226.0600,-66.6890,90.0000,bottom
"C8","20pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",226.0600,-70.2170,90.0000,bottom
"C9","12pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",234.1372,-62.6364,0.0000,bottom
"C10","12pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",234.1372,-64.8208,0.0000,bottom
"R4","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",222.5040,-57.1614,-90.0000,bottom
"R5","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",210.9307,-67.4533,45.0000,bottom
"R6","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",200.8010,-66.4464,0.0000,bottom
"R7","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",200.8124,-64.9224,0.0000,bottom
"R8","120R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",237.9980,-61.8350,90.0000,bottom
"R9","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",223.4070,-71.1200,0.0000,bottom
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",216.9881,-62.5114,135.0000,bottom
"U3","TCAN330G","SOIC-8_3.9x4.9mm_P1.27mm",227.2650,-57.5310,0.0000,bottom
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",223.3540,-67.9020,-90.0000,bottom
"Y2","Crystal","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering",230.9939,-63.7032,-90.0000,bottom
